csv_row_index,merged_row_index,match_flag,recovered_years_joined,Seller Link,Store Name,Year Joined,Total Products,Rating,Review Count,Followers,Total Revenue,Total Review,1 Start,2 Start,3 Start,4 Start,5 Start
1046,1061,,6,https://tiki.vn/cua-hang/locker-and-lock-vietnam?source_screen=product_detail&source_engine=organic,Locker and Lock Vietnam,2020,3,5.0,4,4,0,4.0,0.0,0.0,0.0,0.0,4.0
1047,1062,,7,https://tiki.vn/cua-hang/sport-live?source_screen=product_detail&source_engine=organic,Rinfere Official,2019,9,4.7,2500,0,5104000,1584.0,36.0,25.0,42.0,213.0,1268.0
1048,1063,,3,https://tiki.vn/cua-hang/vetc-thu-phi-tu-dong?source_screen=product_detail&source_engine=organic,VETC THU PHÍ TỰ ĐỘNG,2023,1,4.8,49,0,1440000,49.0,1.0,1.0,0.0,1.0,46.0
1049,1064,,8,https://tiki.vn/cua-hang/ta-online?source_screen=product_detail&source_engine=organic,TA ONLINE,2018,5,4.8,8,0,0,2.0,0.0,0.0,0.0,0.0,2.0
1050,1749,,3,https://tiki.vn/cua-hang/gotechsoft-co-ltd?source_screen=product_detail&source_engine=organic,GOTECHSOFT CO LTD,2023,1,0.0,0,0,0,,,,,,
1051,1659,,4,https://tiki.vn/cua-hang/nguyen-hoang-6688?source_screen=product_detail&source_engine=organic,Nguyên Hoàng 6688,2022,6,0.0,0,0,0,,,,,,
1052,1067,,5,https://tiki.vn/cua-hang/dientanthinh?source_screen=product_detail&source_engine=organic,ĐiệnTânThịnh,2021,128,4.7,43,15,592000,1.0,0.0,0.0,0.0,0.0,1.0
1053,1068,,5,https://tiki.vn/cua-hang/ecoking?source_screen=product_detail&source_engine=organic,ecoking,2021,2,4.2,132,71,0,,,,,,
1054,1069,,5,https://tiki.vn/cua-hang/xe-dap-tre-em-hoang-gia?source_screen=product_detail&source_engine=organic,Royal baby Official,2021,75,4.9,35,0,3190000,30.0,1.0,0.0,0.0,1.0,28.0
1055,1070,,5,https://tiki.vn/cua-hang/non-trum-dau-an-son-sai-gon?source_screen=product_detail&source_engine=organic,NÓN TRÙM ĐẦU 42 SÀI GÒN,2021,35,4.8,35,0,414000,5.0,1.0,0.0,0.0,1.0,3.0
1056,1730,,5,https://tiki.vn/cua-hang/vien-may-loc-nuoc-doctor-nuoc?source_screen=product_detail&source_engine=organic,Viện máy lọc nước DOCTOR NƯỚC,2021,25,0.0,0,15,0,,,,,,
1057,1072,,6,https://tiki.vn/cua-hang/dong-thang-store?source_screen=product_detail&source_engine=organic,Đồng Thắng Store,2020,39,4.7,450,121,782600,310.0,4.0,5.0,5.0,43.0,253.0
1058,1073,,5,https://tiki.vn/cua-hang/san-pham-sinh-hoc-tc?source_screen=product_detail&source_engine=organic,Sản phẩm Sinh học TC,2021,1,0.0,0,3,0,,,,,,
1059,1074,,3,https://tiki.vn/cua-hang/gauu-petshop?source_screen=product_detail&source_engine=organic,Gấuu Petshop,2023,8,5.0,20,6,1250700,19.0,0.0,0.0,0.0,0.0,19.0
1060,1075,,3,https://tiki.vn/cua-hang/may-tinh-minh-tu?source_screen=product_detail&source_engine=organic,Máy Tính Minh Tú,2023,11,4.3,6,0,0,3.0,1.0,0.0,0.0,0.0,2.0
1061,1076,,4,https://tiki.vn/cua-hang/greenabc?source_screen=product_detail&source_engine=organic,GREENABC GREENABC online,2022,44,4.9,88,9,836000,69.0,0.0,0.0,2.0,5.0,62.0
1062,506,,8,https://tiki.vn/cua-hang/mac-more?source_screen=product_detail&source_engine=organic,Mac&More,2018,2,0.0,0,0,0,,,,,,
1063,1078,,5,https://tiki.vn/cua-hang/tam-hien-phat?source_screen=product_detail&source_engine=organic,Tâm Hiền Phát,2021,27,4.8,582,378,0,9.0,0.0,0.0,0.0,0.0,9.0
1064,1079,,4,https://tiki.vn/cua-hang/toshiba-storage-official-store?source_screen=product_detail&source_engine=organic,Toshiba Storage Official Store,2022,6,4.7,72,158,1535510,10.0,0.0,1.0,0.0,1.0,8.0
1065,1080,,5,https://tiki.vn/cua-hang/alchemy-asia?source_screen=product_detail&source_engine=organic,ALCHEMY ASIA,2021,123,4.9,98,91,3599000,5.0,0.0,0.0,0.0,1.0,4.0
1066,1081,,3,https://tiki.vn/cua-hang/vinhphat-store?source_screen=product_detail&source_engine=organic,VinhPhat Store,2023,46,4.2,49,19,1663000,1.0,0.0,0.0,0.0,0.0,1.0
1067,1082,,4,https://tiki.vn/cua-hang/h3t-sport?source_screen=product_detail&source_engine=organic,H3T Sport,2022,112,4.5,146,33,4978700,132.0,6.0,2.0,3.0,22.0,99.0
1068,1083,,8,https://tiki.vn/cua-hang/miley-lingerie?source_screen=product_detail&source_engine=organic,Miley Lingerie,2018,312,4.6,2800,2600,60592980,2484.0,62.0,24.0,75.0,399.0,1924.0
1069,1084,,8,https://tiki.vn/cua-hang/nguyen-van-thang?source_screen=product_detail&source_engine=organic,GIA DỤNG VIỆT,2018,2000,4.4,7800,1500,1870327960,4713.0,233.0,88.0,177.0,860.0,3355.0
1070,1085,,4,https://tiki.vn/cua-hang/hadu-home?source_screen=product_detail&source_engine=organic,Hadu Home,2022,362,4.2,589,238,3732000,19.0,4.0,2.0,0.0,2.0,11.0
1071,1086,,7,https://tiki.vn/cua-hang/hat-dieu-rang-muoi-sviet?source_screen=product_detail&source_engine=organic,hạt điều rang muối SVIET,2019,7,4.5,579,185,0,579.0,14.0,15.0,34.0,115.0,401.0
1072,1087,,2,https://tiki.vn/cua-hang/cua-hang-thuoc-muoi?source_screen=product_detail&source_engine=organic,Cửa hàng thuốc muỗi,2024,7,4.8,6,1,3245000,5.0,0.0,0.0,0.0,1.0,4.0
1073,1088,,3,https://tiki.vn/cua-hang/satori-water-official?source_screen=product_detail&source_engine=organic,SATORI WATER OFFICIAL,2023,32,0.0,0,0,232500,5.0,0.0,0.0,0.0,0.0,5.0
1074,1089,,4,https://tiki.vn/cua-hang/pet-corner-goc-nho-thu-cung?source_screen=product_detail&source_engine=organic,Pet Corner Góc nhỏ thú cưng,2022,41,4.8,444,432,852000,71.0,0.0,0.0,1.0,11.0,59.0
1075,1090,,8,https://tiki.vn/cua-hang/biogreen?source_screen=product_detail&source_engine=organic,Biogreen,2018,58,4.6,18,24,726000,11.0,1.0,0.0,1.0,1.0,8.0
1076,1091,,7,https://tiki.vn/cua-hang/hmt-store?source_screen=product_detail&source_engine=organic,hmt store,2019,17,4.7,168,0,259000,129.0,1.0,1.0,6.0,28.0,93.0
1077,1092,,5,https://tiki.vn/cua-hang/shopcod?source_screen=product_detail&source_engine=organic,shopCoD,2021,6,0.0,0,0,0,3.0,0.0,0.0,0.0,0.0,3.0
1078,1093,,2,https://tiki.vn/cua-hang/tempo-flagship-store?source_screen=product_detail&source_engine=organic,TEMPO FLAGSHIP STORE,2024,40,4.0,1,1,5442000,1.0,0.0,0.0,0.0,1.0,0.0
