satellite_no2,highway_primary,high_traffic,medium_traffic,low_traffic,landuse_industrial_variance,landuse_industrial_distance_mean,landuse_industrial_b5,landuse_residential_b5,landuse_forest_b5,neighbours_no2_variance,neighbours_no2_distance_mean,neighbours_no2_distance_max
4.97E-05,696.6038278,0.268314427,0.21283816,0.216584269,0,0,0,0,0.125,1.94E-12,7.94E-07,2.18E-06
5.03E-05,590.2906846,0.222271098,0.220427762,0.2380484,0,0,0,0,0.125,2.93E-12,1.48E-07,1.70E-06
4.85E-05,1079.258883,0.18403258,0.237962826,0.262717944,0,0,0,0,0.25,3.05E-12,1.18E-06,3.58E-06
4.80E-05,1124.186342,0.159151752,0.263475792,0.289790022,0,0,0,0,0.125,2.94E-12,1.66E-06,4.08E-06
4.84E-05,1742.857837,0.154032578,0.29491336,0.318662848,0,0,0,0,0.375,3.06E-12,1.44E-06,3.39E-06
4.66E-05,2840.48046,0.170415179,0.330596957,0.348896299,0,0,0,0,0.125,4.42E-12,3.37E-06,5.78E-06
4.64E-05,4044.27031,0.203282952,0.369302591,0.380170338,0,0,0,0,0.25,4.60E-12,3.79E-06,6.63E-06
4.65E-05,4730.566002,0.246243924,0.410178642,0.412251205,0,0,0,0.125,0.25,6.63E-12,3.67E-06,8.43E-06
4.67E-05,5509.476472,0.294990771,0.452639353,0.444966468,0,0,0,0,0.25,8.31E-12,3.24E-06,8.63E-06
4.72E-05,6440.042468,0.3471278,0.496279328,0.466152329,0,0,0,0.125,0.25,1.05E-11,3.89E-06,8.99E-06
4.85E-05,7468.319825,0.3168767,0.186728635,0.352191054,0,0,0,0,0.125,1.00E-11,3.22E-06,8.05E-06
4.79E-05,8555.779256,0.328226636,0.147997089,0.324642651,0,0,0,0,0.125,8.63E-12,3.66E-06,8.66E-06
5.02E-05,9641.62234,0.349408971,0.117023953,0.29892649,0,0,0,0,0,6.22E-12,1.46E-06,6.35E-06
4.99E-05,10762.03982,0.378798573,0.101098575,0.275546375,0,0,0,0,0,5.47E-12,1.54E-06,6.27E-06
