job_index,strategy,n_bins,min_support,trial_index,stage,silhouette_score,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,status,error_message,is_best
7,uniform,3,0.65,36,refine,0.5040578842163086,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[159, 201, 871, 358, 210]",0.4,0.1,5.0,ok,,False
7,uniform,3,0.65,37,refine,0.5056665539741516,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[160, 202, 863, 365, 209]",0.4,0.2,5.0,ok,,False
7,uniform,3,0.65,38,refine,0.5052697658538818,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[159, 202, 861, 367, 210]",0.4,0.3,5.0,ok,,False
7,uniform,3,0.65,39,refine,0.5060555338859558,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[160, 202, 850, 371, 216]",0.5,0.1,5.0,ok,,False
7,uniform,3,0.65,40,refine,0.5056524276733398,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 202, 848, 374, 214]",0.5,0.3,5.0,ok,,False
7,uniform,3,0.65,41,refine,0.506187379360199,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 205, 834, 381, 218]",0.6,0.1,5.0,ok,,False
7,uniform,3,0.65,42,refine,0.5062135457992554,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[161, 205, 834, 380, 219]",0.6,0.2,5.0,ok,,False
7,uniform,3,0.65,43,refine,0.5052719116210938,5,"fused_9_medium, fused_10_low, fused_5_low+fused_6_low, fused_4_high, fused_11_high","[162, 204, 833, 381, 219]",0.6,0.3,5.0,ok,,False
8,uniform,3,0.6,0,coarse,0.37734490633010864,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[157, 197, 859, 355, 231]",0.2,0.2,2.0,ok,,False
8,uniform,3,0.6,1,coarse,0.3839726150035858,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[158, 199, 880, 349, 213]",0.2,0.2,3.0,ok,,False
8,uniform,3,0.6,2,coarse,0.38177743554115295,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[159, 191, 883, 352, 214]",0.2,0.2,4.0,ok,,False
8,uniform,3,0.6,3,coarse,0.3828074038028717,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[160, 192, 882, 352, 213]",0.2,0.2,5.0,ok,,False
8,uniform,3,0.6,4,coarse,0.3755861818790436,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[160, 200, 848, 358, 233]",0.2,0.5,2.0,ok,,False
8,uniform,3,0.6,5,coarse,0.38221293687820435,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[160, 199, 868, 355, 217]",0.2,0.5,3.0,ok,,False
8,uniform,3,0.6,6,coarse,0.3846234977245331,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[160, 199, 875, 353, 212]",0.2,0.5,4.0,ok,,False
8,uniform,3,0.6,7,coarse,0.3822143077850342,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[160, 194, 884, 350, 211]",0.2,0.5,5.0,ok,,False
8,uniform,3,0.6,8,coarse,0.37285348773002625,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[165, 201, 834, 365, 234]",0.2,0.8,2.0,ok,,False
8,uniform,3,0.6,9,coarse,0.383047878742218,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[162, 201, 855, 359, 222]",0.2,0.8,3.0,ok,,False
8,uniform,3,0.6,10,coarse,0.38268008828163147,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[161, 199, 875, 353, 211]",0.2,0.8,4.0,ok,,False
8,uniform,3,0.6,11,coarse,0.3842040002346039,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[161, 199, 879, 351, 209]",0.2,0.8,5.0,ok,,False
8,uniform,3,0.6,12,coarse,0.38726601004600525,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[162, 208, 790, 382, 257]",0.5,0.2,2.0,ok,,False
8,uniform,3,0.6,13,coarse,0.39111754298210144,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[163, 204, 808, 383, 241]",0.5,0.2,3.0,ok,,False
8,uniform,3,0.6,14,coarse,0.39216533303260803,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[163, 204, 812, 383, 237]",0.5,0.2,4.0,ok,,False
8,uniform,3,0.6,15,coarse,0.3930477499961853,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[164, 204, 811, 382, 238]",0.5,0.2,5.0,ok,,False
8,uniform,3,0.6,16,coarse,0.38476577401161194,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[166, 213, 779, 375, 266]",0.5,0.5,2.0,ok,,False
8,uniform,3,0.6,17,coarse,0.3904397189617157,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[165, 207, 787, 388, 252]",0.5,0.5,3.0,ok,,False
8,uniform,3,0.6,18,coarse,0.3916221559047699,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[164, 205, 797, 384, 249]",0.5,0.5,4.0,ok,,False
8,uniform,3,0.6,19,coarse,0.39114877581596375,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[164, 203, 804, 384, 244]",0.5,0.5,5.0,ok,,False
8,uniform,3,0.6,20,coarse,0.38108712434768677,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[170, 219, 773, 376, 261]",0.5,0.8,2.0,ok,,False
