orig_index,h_0,h_1,h_2,h_3,h_4,cluster
204,-0.49791995,-0.36759156,-0.3007092,-0.14537269,0.02428919,1
205,-0.044965893,-0.17386395,-0.15407266,0.07234132,0.12788512,3
206,-0.2703636,-0.27377048,-0.22071011,-0.024838366,0.14014786,4
207,-1.0679293,-0.40195507,-0.45717797,-0.40640685,-0.20477048,2
208,-0.24440943,-0.20466822,-0.21665263,-0.025695045,0.15060765,4
209,0.055357486,-0.17026858,-0.34366244,0.107864395,0.12293639,0
210,-0.02506268,-0.22080302,-0.16233143,0.07476408,0.12663321,3
211,-0.040707417,-0.11582788,-0.14463505,0.041051447,0.10678845,3
212,0.011168361,-0.17175487,-0.2961441,0.087872505,0.16227172,0
213,0.10481878,-0.12246281,-0.4261468,0.15266702,0.17019555,0
214,0.008974493,-0.21406454,-0.20103928,0.07642025,0.14175692,3
215,-0.078648,-0.20181301,-0.17548081,0.0433597,0.11752309,3
216,-0.16305281,-0.24089247,-0.1967219,-0.023541093,0.12417,4
217,-0.27435738,-0.27325636,-0.24646816,-0.058058918,0.13953343,4
218,-0.0076636467,-0.1853886,-0.18228063,0.09071578,0.091491,3
219,0.09092727,-0.16935056,-0.40726346,0.11566457,0.19566151,0
220,-0.0450857,-0.18920499,-0.122852705,0.069711216,0.11610282,3
221,-0.059836842,-0.20732267,-0.20419292,0.038987905,0.16546904,3
222,0.066379055,-0.15774639,-0.37809306,0.12866122,0.18706873,0
223,0.009140968,-0.16902435,-0.22044542,0.08673483,0.14889437,3
224,0.08125295,-0.11019608,-0.41819924,0.13804728,0.16006774,0
225,-0.07987906,-0.2106748,-0.1850246,0.03180416,0.121451065,3
226,0.09489414,-0.11525696,-0.4303763,0.15406385,0.17369369,0
227,-0.16721362,-0.31876144,-0.23345123,-0.009481788,0.16990635,4
228,-0.036757186,-0.26031935,-0.1565845,0.079485595,0.13242617,3
229,0.02746442,-0.19228391,-0.22297806,0.060967952,0.15519376,3
230,0.12245718,-0.13220364,-0.4336819,0.15125929,0.19419898,0
231,-0.01623109,-0.26201707,-0.26101047,0.07221795,0.12379219,3
232,-0.24015939,-0.25233147,-0.22915953,-0.016549395,0.14383262,4
233,-0.06639142,-0.18076295,-0.16036867,0.058290638,0.09406229,3
234,-0.20619908,-0.2280078,-0.20567654,-0.011181578,0.120175436,4
235,-0.22029305,-0.28673905,-0.24130143,-0.04083643,0.13591917,4
236,-0.08627075,-0.21555713,-0.1735024,0.051956907,0.08979508,3
237,-0.046610717,-0.17800179,-0.15522985,0.060644962,0.12011326,3
238,-0.22733529,-0.20657772,-0.18491706,-0.018857278,0.1587525,4
239,-0.17691457,-0.19973758,-0.20263417,-0.009706348,0.12716621,4
240,-0.263055,-0.24477507,-0.2176073,-0.02810131,0.13497198,4
241,-0.012180209,-0.14542574,-0.14860302,0.055660196,0.14124402,3
242,0.040150538,-0.117471546,-0.3792348,0.14957523,0.18502428,0
243,-0.009864464,-0.20341054,-0.17749721,0.046396557,0.11774446,3
244,-0.009726122,-0.18700598,-0.2410474,0.11472283,0.102917254,3
245,-0.020700524,-0.1788823,-0.17921744,0.09112684,0.12489718,3
246,0.027958244,-0.17177783,-0.24981478,0.092117585,0.15314709,3
247,-0.33498168,-0.29079032,-0.18500672,-0.104079075,0.040399186,4
248,-0.28014296,-0.25967273,-0.22213441,-0.04849803,0.18312609,4
