orig_index,h_0,h_1,h_2,h_3,h_4,cluster
220,-0.24167608,-0.10037591,0.23275578,0.057760436,-0.0033077337,0
221,-0.31400767,-0.15281548,0.26557547,0.120307624,0.041743517,0
222,-0.28625718,0.027943477,0.48622715,-0.078372285,-0.13586757,3
223,-0.2437602,-0.061812036,0.3238829,-0.037756823,-0.0866036,0
224,-0.2793584,0.14692312,0.5014279,-0.063396126,-0.18827663,3
225,-0.10495021,-0.015996113,0.2348035,0.12026657,-0.1109182,2
226,-0.30207685,0.16336629,0.54912376,-0.076870754,-0.20067123,3
227,-0.27480608,-0.1617769,0.41863483,0.08388924,0.060699135,0
228,-0.23711678,-0.081977755,0.2225179,0.079411596,0.024238508,0
229,-0.2744686,-0.09157654,0.27875704,-0.027570099,-0.027734637,0
230,-0.35944134,0.16706043,0.5737232,-0.16058202,-0.20229252,3
231,-0.2069298,-0.006593168,0.30481023,0.072924286,-0.049435757,2
232,-0.12147832,-0.052394673,0.26301706,0.124545276,-0.08736199,2
233,-0.16307843,0.01064948,0.27272052,0.085614294,-0.04807657,2
234,-0.10784939,-0.009095773,0.22776115,0.18176362,-0.08802128,2
235,-0.07461728,0.0043881834,0.2913904,0.19392893,-0.100086235,2
236,-0.30868274,-0.1016867,0.23238014,0.056113493,0.00451985,0
237,-0.13853121,-0.036190048,0.2284302,0.073234156,-0.068897575,2
238,-0.13056648,-0.034406796,0.24352574,0.041400455,-0.09212634,2
239,-0.10692887,0.016319968,0.195431,0.11838123,-0.0721996,2
240,-0.08917357,-0.026325628,0.24943626,0.13244912,-0.09676437,2
241,-0.24682747,-0.032314636,0.20176736,0.082595736,-0.011677556,0
242,-0.30063745,0.108496435,0.5092875,-0.10805522,-0.17225984,3
243,-0.1414581,-0.04345016,0.2461107,0.114954695,-0.08162946,2
244,-0.2574259,0.07977077,0.41151595,-0.008466389,-0.124650195,3
245,-0.26410544,-0.10244462,0.2703337,0.04555866,-0.027787767,0
246,-0.23068938,-0.053678356,0.32997197,-0.011294417,-0.07795799,0
247,-0.040181458,0.019110054,0.36363542,0.1349348,0.21874842,4
248,-0.12145202,-0.028223865,0.24746394,0.15558627,-0.070427604,2
249,0.15911755,0.035133317,0.4328158,0.083776645,0.3468203,4
250,0.09170992,0.013805449,0.36011833,0.096479386,0.22628188,4
251,-0.36087877,-0.10982062,0.19374256,0.027723897,0.053668857,0
252,-0.12706673,-0.03716229,0.25992656,0.109046936,-0.091554254,2
253,-0.34174648,0.055187777,0.53517497,-0.12880962,-0.143126,3
